,,Pais,level_1,date,/m/06k1r,isPartial,log,cycle,trend
CL,546,CL,69,2015-10-01,54.0,False,3.9889840465642745,-0.019902074078148146,4.008886120642423
CL,547,CL,70,2015-11-01,54.0,False,3.9889840465642745,-0.010171103207096799,3.9991551497713713
CL,548,CL,71,2015-12-01,55.0,False,4.007333185232471,0.01764637828530402,3.989686806947167
CL,549,CL,72,2016-01-01,60.0,False,4.0943445622221,0.11496071226732774,3.9793838499547727
CL,550,CL,73,2016-02-01,51.0,False,3.9318256327243257,-0.03561751015957615,3.967443142883902
CL,551,CL,74,2016-03-01,51.0,False,3.9318256327243257,-0.02315192897106577,3.9549775616953915
CL,552,CL,75,2016-04-01,52.0,False,3.9512437185814275,0.008737361400673382,3.942506357180754
CL,553,CL,76,2016-05-01,53.0,False,3.970291913552122,0.04012899890346988,3.930162914648652
CL,554,CL,77,2016-06-01,51.0,False,3.9318256327243257,0.013599390626567232,3.9182262420977585
CL,555,CL,78,2016-07-01,48.0,False,3.871201010907891,-0.03644315326724934,3.9076441641751405
CL,556,CL,79,2016-08-01,46.0,False,3.828641396489095,-0.07094976554920995,3.899591162038305
CL,557,CL,80,2016-09-01,51.0,False,3.9318256327243257,0.03719130176735552,3.89463433095697
CL,558,CL,81,2016-10-01,53.0,False,3.970291913552122,0.07813364344375229,3.8921582701083697
CL,559,CL,82,2016-11-01,48.0,False,3.871201010907891,-0.020966422791302453,3.8921674336991936
CL,560,CL,83,2016-12-01,41.0,False,3.713572066704308,-0.18239643662255434,3.8959685033268623
CL,561,CL,84,2017-01-01,45.0,False,3.8066624897703196,-0.0978562304386239,3.9045187202089435
CL,562,CL,85,2017-02-01,60.0,False,4.0943445622221,0.178609177269474,3.9157353849526264
CL,563,CL,86,2017-03-01,61.0,False,4.110873864173311,0.18496900318218845,3.925904860991123
CL,564,CL,87,2017-04-01,47.0,False,3.8501476017100584,-0.08414272966874314,3.9342903313788016
CL,565,CL,88,2017-05-01,49.0,False,3.8918202981106265,-0.05141749777910887,3.9432377958897353
CL,566,CL,89,2017-06-01,45.0,False,3.8066624897703196,-0.14702838569986465,3.9536908754701843
CL,567,CL,90,2017-07-01,61.0,False,4.110873864173311,0.1451376314032231,3.9657362327700882
CL,568,CL,91,2017-08-01,59.0,False,4.07753744390572,0.10052738656133187,3.977010057344388
CL,569,CL,92,2017-09-01,50.0,False,3.912023005428146,-0.07554449384326789,3.987567499271414
CL,570,CL,93,2017-10-01,53.0,False,3.970291913552122,-0.028847251520061956,3.999139165072184
CL,571,CL,94,2017-11-01,53.0,False,3.970291913552122,-0.0419046728182102,4.012196586370332
CL,572,CL,95,2017-12-01,49.0,False,3.8918202981106265,-0.13491020915353014,4.026730507264157
CL,573,CL,96,2018-01-01,63.0,False,4.143134726391533,0.10110146575321455,4.042033260638318
CL,574,CL,97,2018-02-01,63.0,False,4.143134726391533,0.08798605049994634,4.055148675891586
CL,575,CL,98,2018-03-01,63.0,False,4.143134726391533,0.07832911953957922,4.064805606851953
CL,576,CL,99,2018-04-01,59.0,False,4.07753744390572,0.00633810238331467,4.071199341522405
CL,577,CL,100,2018-05-01,55.0,False,4.007333185232471,-0.0684974679991095,4.075830653231581
